,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX,AAPL,AMZN,FB,GOOG,NFLX
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019/8/21,52.54708099,1823.540039,183.5500031,1191.25,297.8099976,53.15999985,1823.540039,183.5500031,1191.25,297.8099976,53.41249847,1829.579956,185.8999939,1199,302.8800049,52.90000153,1815,183.1399994,1187.430054,296.2000122,53.24750137,1819.390015,185,1193.150024,301.6099854,86141600,2031800,8398200,740700,5685400
2019/8/22,52.50259781,1804.660034,182.0399933,1189.530029,296.9299927,53.11500168,1804.660034,182.0399933,1189.530029,296.9299927,53.61000061,1829.410034,184.1100006,1198.011963,300.3299866,52.6875,1800.099976,179.9100037,1178.579956,293.1499939,53.29750061,1828,183.4299927,1194.069946,298.6499939,89014800,2653500,10821400,947500,4974200
2019/8/23,50.07590485,1749.619995,177.75,1151.290039,291.4400024,50.65999985,1749.619995,177.75,1151.290039,291.4400024,53.01250076,1804.900024,183.1300049,1194.079956,299.0100098,50.25,1745.22998,176.6600037,1147.75,290.3200073,52.35749817,1793.030029,180.8399963,1181.98999,295,187272000,5270800,17323400,1687000,6324900
2019/8/26,51.0273056,1768.869995,180.3600006,1168.890015,294.980011,51.62250137,1768.869995,180.3600006,1168.890015,294.980011,51.79750061,1770,180.5,1169.469971,296.9500122,51.26499939,1743.51001,178.2400055,1152.959961,292.5,51.46500015,1766.910034,179.3999939,1157.26001,295.2399902,104174400,3080000,8773600,1226100,4695700
2019/8/27,50.45151901,1761.829956,181.3000031,1167.839966,291.0299988,51.04000092,1761.829956,181.3000031,1167.839966,291.0299988,52.13750076,1779.400024,184.0399933,1182.400024,296.769989,50.88249969,1746.680054,181.0099945,1161.449951,287.2000122,51.96500015,1775.72998,181.9299927,1180.530029,294.5400085,103493200,3019700,14399600,1077200,6309400
2019/8/28,50.79007339,1764.25,181.7599945,1171.02002,291.769989,51.38249969,1764.25,181.7599945,1171.02002,291.769989,51.43000031,1767.859985,181.9499969,1176.420044,292.8200073,50.83000183,1744.050049,178.9199982,1157.300049,287.75,51.02500153,1755,180.5299988,1161.709961,289.4700012,63755200,2419700,9386100,802000,3955700
2019/8/29,51.65003967,1786.400024,185.5700073,1192.849976,296.7799988,52.25249863,1786.400024,185.5700073,1192.849976,296.7799988,52.33000183,1798.550049,186.0800018,1196.060059,299.9299927,51.66500092,1777.25,183.4700012,1181.119995,294.9899902,52.125,1783,183.7700043,1181.119995,295,83962000,3015100,10128700,1088400,4388500
2019/8/30,51.58332443,1776.290039,185.6699982,1188.099976,293.75,52.18500137,1776.290039,185.6699982,1188.099976,293.75,52.61249924,1799.73999,186.8000031,1198.5,298.9400024,51.79999924,1764.569946,183.4600067,1183.802979,290.8500061,52.54000092,1797.48999,186.7799988,1198.5,298.7799988,84573600,3058700,10774500,1129800,4446400
2019/9/3,50.83208084,1789.839966,182.3899994,1168.390015,289.2900085,51.42499924,1789.839966,182.3899994,1168.390015,289.2900085,51.74499893,1800.800049,185.6699982,1186.890015,293.8999939,51.05500031,1768,182.1100006,1163.199951,288.0599976,51.60749817,1770,184,1177.030029,290.8200073,80092000,3543000,9779400,1479900,3682800
2019/9/4,51.69452286,1800.619995,187.1399994,1181.410034,291.519989,52.29750061,1800.619995,187.1399994,1181.410034,291.519989,52.36999893,1807.630005,187.75,1183.47998,292.3800049,51.83000183,1796.22998,183.8899994,1171,286.5100098,52.09749985,1805,184.6499939,1176.709961,291.25,76752400,2324100,11308000,1068900,4652500
