Date,AMD,CSCO,INTC,INTU,NVDA
2018/5/8,11.61,40.910561,48.782963,185.264816,62.054325
2018/5/9,11.95,41.205914,49.428795,187.700348,63.3876
2018/5/10,12.13,41.438618,50.010944,189.28833,64.465607
2018/5/11,11.95,41.107471,49.728962,189.190887,63.077824
2018/5/14,12.23,40.901608,49.938179,187.622421,63.283516
2018/5/15,12.45,40.704708,49.046753,184.875183,60.854862
2018/5/16,12.82,40.418308,49.701679,185.498642,60.966393
2018/5/17,12.82,38.896805,49.856319,184.884918,61.387684
2018/5/18,13,38.673061,48.664715,185.625305,60.949047
2018/5/21,12.99,39.156357,49.410595,186.745636,60.52774
2018/5/22,12.98,39.06686,49.528854,185.625305,60.146107
2018/5/23,13.1,39.093716,50.220158,191.168518,61.383499
2018/5/24,13.41,38.995262,49.801743,192.688309,61.420689
2018/5/25,13.54,38.717808,50.429379,192.006348,61.814976
2018/5/29,13.36,38.45826,50.320217,191.626389,61.643871
2018/5/30,13.82,38.350857,50.647686,195.912918,62.734955
2018/5/31,13.73,38.225555,50.211071,196.40004,62.536572
2018/6/1,14.4,39.075809,51.92115,198.816055,63.883076
2018/6/4,14.85,39.004211,51.693756,201.660751,65.675934
2018/6/5,14.85,39.084751,51.420872,202.859055,65.730492
2018/6/6,15.67,39.612812,51.875675,204.096283,65.75032
2018/6/7,14.89,39.06686,50.82962,200.93985,65.192375
2018/6/8,15.25,38.914707,50.074631,200.93985,65.038628
2018/6/11,15.73,39.102657,49.592518,201.037262,64.626991
2018/6/12,15.85,39.326408,49.86541,202.138107,65.113037
2018/6/13,16.32,39.389057,50.056423,202.430389,65.068405
2018/6/14,16.25,39.997662,50.52034,203.687088,66.186752
2018/6/15,16.34,39.603859,50.129211,203.57019,65.777611
2018/6/18,17.110001,39.568062,48.410019,203.76503,65.735443
2018/6/19,16.690001,39.219009,48.146221,205.177628,64.515419
2018/6/20,16.52,39.147408,48.628323,208.012573,65.046066
2018/6/21,15.65,38.628304,47.47311,204.388535,63.756603
2018/6/22,15.8,38.664112,47.755085,200.667038,62.229084
2018/6/25,15.11,37.849651,46.126869,196.536423,59.295551
2018/6/26,15.5,38.082348,45.180866,196.896881,60.00724
2018/6/27,14.97,37.885452,44.353104,193.107239,58.452442
2018/6/28,15.31,38.431408,44.79882,198.757629,59.72702
2018/6/29,14.99,38.511955,45.217243,199.040085,58.745045
2018/7/2,15.16,38.31506,45.662964,200.140991,60.069233
2018/7/3,15,38.189751,44.99894,199.4785,58.730164
2018/7/5,15.5,38.388195,46.163254,199.770782,60.190739
2018/7/6,16.360001,38.523483,46.727222,202.781097,61.331421
2018/7/9,16.610001,38.4874,47.172935,202.751801,61.807529
2018/7/10,16.549999,38.658791,47.44582,203.46431,62.799423
2018/7/11,16.27,38.397213,46.572586,204.176819,61.381012
2018/7/12,16.559999,39.308208,47.618652,208.598251,62.298515
2018/7/13,16.27,37.684647,47.500397,208.588516,61.824886
2018/7/16,16.58,38.334072,47.30938,209.320511,61.547157
2018/7/17,16.870001,38.189754,47.072876,211.292114,62.908535
2018/7/18,16.85,38.072502,47.045586,213.078232,62.41507
2018/7/19,16.709999,38.243881,47.282089,210.813843,62.496899
2018/7/20,16.5,37.892101,47.218418,210.12088,62.214203
2018/7/23,16.66,37.93721,47.582264,212.180298,61.847202
2018/7/24,16.190001,38.234856,47.464012,210.628403,61.673618
2018/7/25,16.049999,38.929375,47.691425,212.043686,62.457218
2018/7/26,18.35,39.263111,47.44582,211.448288,63.193707
2018/7/27,18.940001,38.397213,43.370724,207.222061,62.494419
2018/7/30,19.42,38.036415,43.379814,197.822815,60.537903
2018/7/31,18.33,38.144657,43.752754,199.345459,60.718933
2018/8/1,18.48,37.756805,44.398594,199.364944,61.118164
2018/8/2,18.790001,38.361126,45.008041,200.799713,62.147255
2018/8/3,18.49,38.631733,45.144482,200.233658,62.514256
2018/8/6,19.43,39.055656,45.11702,202.507828,62.992844
2018/8/7,19.559999,39.308208,45.483089,204.459885,63.716942
2018/8/8,19.58,39.542725,45.721031,205.006439,64.081459
2018/8/9,19.1,39.488602,45.885754,206.128891,63.595425
2018/8/10,19.059999,39.488602,44.705204,205.953171,63.181309
2018/8/13,19.73,39.461548,44.339138,204.547699,63.511108
2018/8/14,20.02,39.687035,44.03714,205.640884,64.827858
2018/8/15,19.700001,39.56076,43.43314,204.450119,64.24511
2018/8/16,19.33,40.73333,43.167744,204.664825,63.838428
